frame,speed_kmph,SNR_dB,profile,chosen_waveform,chosen_detector,choice_prob,BER_chosen,CQI_chosen,Latency_ms_chosen,BER_oracle,oracle_waveform,BER_OTFS,BER_ODDM,BER_OFDM,CQI_OTFS,CQI_ODDM,CQI_OFDM,optimal_choice
26,54,7.31953071166709,EVA,ODDM,LMMSE,1,0.00208333333333333,13,60.4583,0.000520833333333333,OTFS,0.000520833333333333,0.00208333333333333,0.00208333333333333,15,13,13,0
27,58,6.65528113982639,EVA,OTFS,MRC,1,0.028125,8,9.2587,0.028125,OTFS,0.028125,0.0369791666666667,0.0338541666666667,8,8,8,1
28,63,6.16654786963877,EVA,OTFS,MRC,1,0.136458333333333,5,10.4544,0.135416666666667,ODDM,0.136458333333333,0.135416666666667,0.148958333333333,5,5,4,0
29,68,5.86515994190557,EVA,ODDM,LMMSE,1,0.0421875,7,60.1603,0.034375,OFDM,0.04375,0.0421875,0.034375,7,7,8,0
30,73,5.75833333333333,EVA,ODDM,LMMSE,1,0.0416666666666667,7,62.9055,0.0416666666666667,ODDM,0.0770833333333333,0.0416666666666667,0.0453125,6,7,7,1
31,77,5.8484932752389,EVA,ODDM,LMMSE,1,0.120833333333333,5,61.2941,0.113020833333333,OTFS,0.113020833333333,0.120833333333333,0.11875,5,5,5,0
32,82,6.13321453630544,EVA,ODDM,LMMSE,1,0.0588541666666667,7,61.0347,0.0588541666666667,ODDM,0.0916666666666667,0.0588541666666667,0.0755208333333333,6,7,6,1
33,87,6.60528113982639,EVA,ODDM,LMMSE,1,0.000520833333333333,15,61.5776,0,OTFS,0,0.000520833333333333,0.0015625,15,15,14,0
34,92,7.25286404500042,EVA,OTFS,MRC,1,0.152083333333333,4,9.4404,0.1375,OFDM,0.152083333333333,0.139583333333333,0.1375,4,5,5,0
35,96,8.05981241717429,EVA,OTFS,MRC,1,0.00416666666666667,12,8.9538,0.00416666666666667,OTFS,0.00416666666666667,0.0078125,0.009375,12,11,11,1
36,101,9.00605131499355,EVA,OTFS,MRC,1,0.00520833333333333,12,26.8327,0.00520833333333333,OTFS,0.00520833333333333,0.0109375,0.03125,12,10,8,1
37,106,10.0680760020836,EVA,OTFS,MRC,1,0.0489583333333333,7,11.3036,0.0489583333333333,OTFS,0.0489583333333333,0.0651041666666667,0.0619791666666667,7,6,7,1
38,111,11.2195307116671,EVA,OTFS,MRC,1,0.0307291666666667,8,10.1169,0.0307291666666667,OTFS,0.0307291666666667,0.040625,0.0369791666666667,8,7,8,1
39,115,12.4318576130115,EVA,ODDM,LMMSE,1,0.0541666666666667,7,64.2918,0.0541666666666667,ODDM,0.110416666666667,0.0541666666666667,0.0692708333333333,5,7,6,1
40,120,13.675,EVA,OTFS,MRC,1,0,15,9.3293,0,OTFS,0,0,0.00989583333333333,15,15,10,1
41,120,14.9181423869885,ETU,OTFS,MRC,1,0,15,8.7959,0,OTFS,0,0.000538793103448276,0.0129310344827586,15,15,10,1
42,132,16.1304692883329,ETU,OTFS,MRC,1,0,15,9.4255,0,OTFS,0,0,0,15,15,15,1
43,144,17.2819239979164,ETU,OTFS,MRC,1,0.000538793103448276,15,8.8873,0.000538793103448276,OTFS,0.000538793103448276,0.0021551724137931,0.0258620689655172,15,13,8,1
44,156,18.3439486850064,ETU,OTFS,MRC,1,0,15,9.2821,0,OTFS,0,0,0,15,15,15,1
45,168,19.2901875828257,ETU,OTFS,MRC,1,0,15,9.0146,0,OTFS,0,0,0.0021551724137931,15,15,13,1
46,181,20.0971359549996,ETU,OTFS,MRC,1,0,15,8.206,0,OTFS,0,0,0,15,15,15,1
47,193,20.7447188601736,ETU,OTFS,MRC,1,0,15,9.2395,0,OTFS,0,0,0.00592672413793103,15,15,11,1
48,205,21.2167854636946,ETU,OTFS,MRC,1,0,15,9.2663,0,OTFS,0,0,0.00323275862068966,15,15,13,1
49,217,21.5015067247611,ETU,OTFS,MRC,1,0,15,8.4515,0,OTFS,0,0,0,15,15,15,1
50,229,21.5916666666667,ETU,OTFS,MRC,1,0,15,7.6882,0,OTFS,0,0,0.00646551724137931,15,15,11,1
51,241,21.4848400580944,ETU,OTFS,MRC,1,0,15,9.684,0,OTFS,0,0,0.00161637931034483,15,15,14,1
52,253,21.1834521303612,ETU,OTFS,MRC,1,0,15,19.3099,0,OTFS,0,0,0.00538793103448276,15,15,12,1
53,265,20.6947188601736,ETU,OTFS,MRC,1,0,15,23.2237,0,OTFS,0,0,0.00431034482758621,15,15,12,1
54,277,20.0304692883329,ETU,OTFS,MRC,1,0,15,14.4266,0,OTFS,0,0,0.000538793103448276,15,15,15,1
55,289,19.2068542494924,ETU,OTFS,MRC,1,0,15,12.514,0,OTFS,0,0,0.0021551724137931,15,15,13,1
56,302,18.2439486850065,ETU,OTFS,MRC,1,0,15,26.6136,0,OTFS,0,0,0.00484913793103448,15,15,12,1
57,314,17.1652573312497,ETU,OTFS,MRC,1,0,15,26.6757,0,OTFS,0,0.000538793103448276,0.0129310344827586,15,15,10,1
58,326,15.9971359549996,ETU,OTFS,MRC,1,0.000538793103448276,15,30.7874,0.000538793103448276,OTFS,0.000538793103448276,0.00431034482758621,0.0226293103448276,15,12,9,1
59,338,14.7681423869885,ETU,OTFS,MRC,1,0,15,33.1824,0,OTFS,0,0.00107758620689655,0.00862068965517241,15,15,11,1
60,350,13.5083333333333,ETU,OTFS,MRC,1,0.0021551724137931,13,29.9566,0.0021551724137931,OTFS,0.0021551724137931,0.00700431034482759,0.0226293103448276,13,11,9,1
